=== ОТЧЕТ ДЕТЕКТИВНОГО АГЕНТСТВА ===
Общее количество улик: 200

Список категорий и количество улик в каждой:
  алиби: 20
  вещдок: 17
  документ: 24
  запись: 19
  оружие: 16
  отпечаток: 17
  свидетель: 23
  след: 17
  улика: 19
  фото: 28

Самая важная улика: кепка (свидетель, важность: 10)

=== Все улики от самой важной к наименее важной ===
  свидетель кепка (важность: 10)
  документ ордер (важность: 10)
  улика сумка (важность: 10)
  свидетель яд (важность: 10)
  след часы (важность: 10)
  алиби пистолет (важность: 10)
  документ след_обуви (важность: 10)
  алиби стакан (важность: 10)
  свидетель карта (важность: 10)
  свидетель перчатка (важность: 10)
  след перевод (важность: 10)
  запись пуля (важность: 10)
  алиби Иванов (важность: 10)
  фото Морозов (важность: 10)
  фото Семенов (важность: 10)
  свидетель монета (важность: 9)
  фото смс (важность: 9)
  след платеж (важность: 9)
  след ордер (важность: 9)
  алиби Егоров (важность: 9)
  документ след_крови (важность: 9)
  фото гаечный_ключ (важность: 9)
  вещдок Семенов (важность: 9)
  отпечаток Алексеев (важность: 9)
  фото след_обуви (важность: 9)
  вещдок Петров (важность: 9)
  фото Павлов (важность: 9)
  фото расписка (важность: 9)
  улика зажигалка (важность: 9)
  улика след_краски (важность: 9)
  алиби звонок (важность: 9)
  фото яд (важность: 9)
  фото нож (важность: 9)
  след яд (важность: 9)
  свидетель веревка (важность: 9)
  свидетель сумка (важность: 9)
  отпечаток Орлов (важность: 9)
  фото Морозов (важность: 9)
  след инструкция (важность: 9)
  свидетель очки (важность: 9)
  вещдок ордер (важность: 9)
  фото цепь (важность: 8)
  свидетель Степанов (важность: 8)
  свидетель Попов (важность: 8)
  свидетель осколок (важность: 8)
  отпечаток арматура (важность: 8)
  оружие квитанция (важность: 8)
  документ кредит (важность: 8)
  улика Козлов (важность: 8)
  документ скальпель (важность: 8)
  фото Николаев (важность: 8)
  оружие монета (важность: 8)
  отпечаток схема (важность: 8)
  улика зажигалка (важность: 8)
  вещдок след_крови (важность: 8)
  оружие след_краски (важность: 8)
  документ смс (важность: 8)
  документ кепка (важность: 8)
  отпечаток яд (важность: 7)
  отпечаток пуля (важность: 7)
  след накладная (важность: 7)
  улика сумка (важность: 7)
  вещдок след_обуви (важность: 7)
